FILE_PATH,ATTR,CMD,COMMENT,ENS,FILE,FILE_MODE,HARD_CODE,INCL,SLOC,REQ,SSH,URL,ICP_STATUS
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh-2018-06/manifests/spark/worker.pp,6,0,2,2,0,0,2,0,22,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/alternative.pp,6,1,16,0,0,0,3,0,30,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop.pp,24,0,81,4,11,1,19,1,249,1,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/datanode.pp,7,0,3,2,0,0,3,0,21,1,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/defaults.pp,0,0,3,0,0,0,16,0,54,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/historyserver.pp,12,0,6,2,0,1,7,0,38,3,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/datanode.pp,15,0,20,0,0,0,87,0,175,0,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/master.pp,3,0,2,0,0,0,0,0,14,0,0,0,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/namenode.pp,15,0,20,0,0,0,113,0,210,0,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/nodemanager.pp,15,0,20,0,0,0,69,0,166,0,0,1,NEUTRAL
/Users/arahman/PRIOR_NCSU/SECU_REPOS/wiki-pupp/cdh4-2018-06/manifests/hadoop/jmxtrans/resourcemanager.pp,15,0,20,0,0,0,235,0,373,0,0,1,NEUTRAL
